dataset,dataset_label,joint,joint_index,phase_percent,p10,p25,p50_median,p75,p90
sim,Simulation,shoulder_lift.pos,1,77,-100.00003814697266,-73.53230590820316,-32.78153882980348,2.1808792272210145,36.970020645141645
sim,Simulation,shoulder_lift.pos,1,78,-100.00003814697266,-77.86242027282714,-41.72307777404785,-1.2408791959285734,33.194901733398446
sim,Simulation,shoulder_lift.pos,1,79,-100.00003814697266,-85.68065870285034,-51.24615325927738,-2.3762637580930996,26.699427780151385
sim,Simulation,shoulder_lift.pos,1,80,-100.00003814697266,-91.3626369476319,-59.82417602539061,-6.171428680419935,22.081757545471163
sim,Simulation,shoulder_lift.pos,1,81,-100.00003814697266,-99.96968429565429,-66.05142761230468,-12.423516440391627,15.576967170715339
sim,Simulation,shoulder_lift.pos,1,82,-100.00003814697266,-100.00003814697266,-74.63560455322263,-18.779340648651058,7.093450710296727
sim,Simulation,shoulder_lift.pos,1,83,-100.00003814697266,-100.00003814697266,-80.23648498535155,-30.1452766799927,-2.630329728126537
sim,Simulation,shoulder_lift.pos,1,84,-100.00003814697266,-100.00003814697266,-86.62857315063482,-42.671648750305046,-10.774153672218297
sim,Simulation,shoulder_lift.pos,1,85,-100.00003814697266,-100.00003814697266,-91.92087879180906,-54.16043858528138,-16.04044037342062
sim,Simulation,shoulder_lift.pos,1,86,-100.00003814697266,-100.00003814697266,-97.69759216308589,-60.88351667404181,-24.117978061676077
sim,Simulation,shoulder_lift.pos,1,87,-100.00003814697266,-100.00003814697266,-100.00003814697266,-73.15098663330076,-44.56615435791018
sim,Simulation,shoulder_lift.pos,1,88,-100.00003814697266,-100.00003814697266,-100.00003814697266,-84.98197578430177,-60.754286819458166
sim,Simulation,shoulder_lift.pos,1,89,-100.00003814697266,-100.00003814697266,-100.00003814697266,-93.73582340240479,-72.04052550506592
sim,Simulation,shoulder_lift.pos,1,90,-100.00003814697266,-100.00003814697266,-100.00003814697266,-98.31868190765405,-85.42241607666017
sim,Simulation,shoulder_lift.pos,1,91,-100.00003814697266,-100.00003814697266,-100.00003814697266,-100.00003814697266,-92.17784642791746
sim,Simulation,shoulder_lift.pos,1,92,-100.00003814697266,-100.00003814697266,-100.00003814697266,-100.00003814697266,-97.03666088867186
sim,Simulation,shoulder_lift.pos,1,93,-100.00003814697266,-100.00003814697266,-100.00003814697266,-100.00003814697266,-97.36263732910156
sim,Simulation,shoulder_lift.pos,1,94,-100.00003814697266,-100.00003814697266,-100.00003814697266,-100.00003814697266,-97.28351516723633
sim,Simulation,shoulder_lift.pos,1,95,-100.00003814697266,-100.00003814697266,-100.00003814697266,-100.00003814697266,-96.94065990447999
sim,Simulation,shoulder_lift.pos,1,96,-100.00003814697266,-100.00003814697266,-100.00003814697266,-100.00003814697266,-97.48078509521484
sim,Simulation,shoulder_lift.pos,1,97,-100.00003814697266,-100.00003814697266,-100.00003814697266,-100.00003814697266,-97.57362823486328
sim,Simulation,shoulder_lift.pos,1,98,-100.00003814697266,-100.00003814697266,-100.00003814697266,-100.00003814697266,-97.4769172668457
sim,Simulation,shoulder_lift.pos,1,99,-100.00003814697266,-100.00003814697266,-100.00003814697266,-100.00003814697266,-97.4769172668457
sim,Simulation,shoulder_lift.pos,1,100,-100.00003814697266,-100.00003814697266,-100.00003814697266,-100.00003814697266,-97.4769172668457
sim,Simulation,elbow_flex.pos,2,0,96.51868209838867,96.61538696289062,96.61538696289062,96.72527694702148,96.82992553710938
sim,Simulation,elbow_flex.pos,2,1,96.52747344970703,96.61538696289062,96.61538696289062,96.70330047607422,96.82992553710938
sim,Simulation,elbow_flex.pos,2,2,96.52747344970703,96.61538696289062,96.61538696289062,96.70330047607422,96.82992553710938
sim,Simulation,elbow_flex.pos,2,3,96.52747344970703,96.61538696289062,96.61538696289062,96.70330047607422,96.82992553710938
